"SA1","Number","Percent (%)","Households",
"21005154202","0","0.0%","180",
"21005154203","0","0.0%","125",
"21005154204","0","0.0%","143",
"21005154205","0","0.0%","225",
"21005154206","0","0.0%","116",
"21005154207","0","0.0%","136",
"21005154208","3","2.2%","137",
"21005154209","0","0.0%","150",
"21005154210","0","0.0%","126",
"21005154211","0","0.0%","150",
"21005154212","0","0.0%","108",
"21005154213","0","0.0%","110",
"21005154214","0","0.0%","158",
"21005154215","0","0.0%","161",
"21005154216","0","0.0%","140",
"21005154217","0","0.0%","117",
"21005154218","0","0.0%","185",
"21005154219","0","0.0%","121",
"21005154220","0","0.0%","177",
"21005154301","0","0.0%","206",
"21005154302","0","0.0%","166",
"21005154303","0","0.0%","145",
"21005154304","0","0.0%","156",
"21005154305","0","0.0%","159",
"21005154307","0","0.0%","183",
"21005154308","0","0.0%","99",
"21005154309","0","0.0%","189",
"21005154310","0","0.0%","76",
"21005154311","0","0.0%","102",
"21005154312","0","0.0%","218",
"21005154313","0","0.0%","100",
"21005154314","0","0.0%","180",
"21005154315","0","0.0%","187",
"21005154316","0","0.0%","138",
"21005154317","0","0.0%","181",
"21005154318","6","3.0%","201",
"21005154319","0","0.0%","154",
"21005154320","0","0.0%","136",
"21005154321","0","0.0%","164",
"21005154322","0","0.0%","202",
"21005154323","0","0.0%","231",
"21005154324","12","4.7%","253",
"21005154325","0","0.0%","147",
